Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
2538,0.00116152,-0.00114127,0.00037082,0.028,0.0280257,-2.01701e-05,5.93506e-06,0.0233437,0.0233437
2539,0.00116077,-0.00152169,0.000494427,0.028,0.0280457,-2.48997e-05,7.53235e-06,0.0229691,0.0229691
2540,0.00116019,-0.00190211,0.000618034,0.028,0.0280713,-2.80619e-05,8.64538e-06,0.0223996,0.0223996
2541,0.00116364,-0.0004,0,0.028,0.0280029,-8.70645e-06,-4.85967e-07,0.0236665,0.0236665
2542,0.0011623,-0.0008,0,0.028,0.0280114,-1.53144e-05,-4.68074e-07,0.0235626,0.0235627
2543,0.00116154,-0.0012,0,0.028,0.0280257,-2.12068e-05,-4.39175e-07,0.0233438,0.0233439
2544,0.00116079,-0.0016,0,0.028,0.0280457,-2.61957e-05,-3.941e-07,0.0229693,0.0229693
2545,0.0011602,-0.002,0,0.028,0.0280713,-2.95372e-05,-3.30585e-07,0.0223999,0.0223999
2546,0.00106621,-0.000123607,0.000380423,0.029,0.0290028,-1.93366e-06,5.69387e-06,0.0236348,0.0236348
2547,0.00106521,-0.000247214,0.000760845,0.029,0.029011,-3.43458e-06,1.03623e-05,0.0235322,0.0235322
2548,0.00106463,-0.00037082,0.00114127,0.029,0.0290248,-4.76901e-06,1.45431e-05,0.0233159,0.0233159
2549,0.00106407,-0.000494427,0.00152169,0.029,0.0290441,-5.89011e-06,1.81038e-05,0.0229452,0.0229452
2550,0.00106362,-0.000618034,0.00190211,0.029,0.0290689,-6.62501e-06,2.05165e-05,0.0223806,0.0223806
2551,0.00106621,-0.000235114,0.000323607,0.029,0.0290028,-3.60681e-06,4.84731e-06,0.0236348,0.0236348
2552,0.00106522,-0.000470228,0.000647214,0.029,0.029011,-6.47822e-06,8.82771e-06,0.0235323,0.0235323
2553,0.00106465,-0.000705343,0.000970821,0.029,0.0290248,-9.04075e-06,1.23971e-05,0.0233161,0.0233161
