Block Name,p,Points_0,Points_1,Points_2,U_0,U_1,U_2
internalMesh,0.0818402,0.00388328,0.00282137,-0.10585,-8.23487e-05,-5.98299e-05,0.00518935
internalMesh,0.0818413,0.0048541,0.00352671,-0.10585,0,0,0
internalMesh,0.0818318,0.000705342,0.00097082,-0.10585,-4.42839e-05,-6.09515e-05,0.0108131
internalMesh,0.0818316,0.00141068,0.00194164,-0.10585,-8.27002e-05,-0.000113827,0.0100676
internalMesh,0.0818358,0.00211603,0.00291246,-0.10585,-9.66527e-05,-0.000133031,0.00837315
internalMesh,0.0818402,0.00282137,0.00388328,-0.10585,-5.98299e-05,-8.23487e-05,0.00518935
internalMesh,0.0818413,0.00352671,0.0048541,-0.10585,0,0,0
internalMesh,0.0818318,0.00037082,0.00114127,-0.10585,-2.32814e-05,-7.16528e-05,0.0108131
internalMesh,0.0818316,0.000741641,0.00228254,-0.10585,-4.3478e-05,-0.000133811,0.0100676
internalMesh,0.0818358,0.00111246,0.0034238,-0.10585,-5.08133e-05,-0.000156387,0.00837314
internalMesh,0.0818402,0.00148328,0.00456507,-0.10585,-3.14544e-05,-9.68069e-05,0.00518935
internalMesh,0.0818413,0.0018541,0.00570634,-0.10585,0,0,0
internalMesh,0.0818318,0,0.0012,-0.10585,0,-7.53402e-05,0.0108131
internalMesh,0.0818316,0,0.0024,-0.10585,0,-0.000140698,0.0100676
internalMesh,0.0818358,0,0.0036,-0.10585,0,-0.000164436,0.00837314
internalMesh,0.0818402,0,0.0048,-0.10585,0,-0.000101789,0.00518935
internalMesh,0.0818413,0,0.006,-0.10585,0,0,0
internalMesh,0.0817668,0,0,-0.10485,0,0,0.0110899
internalMesh,0.0817667,0.0012,-4.17106e-20,-0.10485,-4.95746e-05,0,0.010904
internalMesh,0.0817676,0.0024,-8.34212e-20,-0.10485,-9.32298e-05,0,0.0101459
internalMesh,0.081771,0.0036,-1.25132e-19,-0.10485,-0.000107246,0,0.00839372
internalMesh,0.0817738,0.0048,-1.66842e-19,-0.10485,-6.42937e-05,0,0.00514866
internalMesh,0.0817744,0.006,-2.08553e-19,-0.10485,0,0,0
internalMesh,0.0817667,0.00114127,0.00037082,-0.10485,-4.71483e-05,-1.53194e-05,0.010904
internalMesh,0.0817676,0.00228254,0.000741641,-0.10485,-8.86668e-05,-2.88096e-05,0.0101459
internalMesh,0.081771,0.0034238,0.00111246,-0.10485,-0.000101996,-3.31407e-05,0.00839372
internalMesh,0.0817738,0.00456507,0.00148328,-0.10485,-6.11469e-05,-1.98678e-05,0.00514866
internalMesh,0.0817744,0.00570634,0.0018541,-0.10485,0,0,0
internalMesh,0.0817667,0.00097082,0.000705342,-0.10485,-4.01067e-05,-2.91392e-05,0.010904
internalMesh,0.0817676,0.00194164,0.00141068,-0.10485,-7.54245e-05,-5.47991e-05,0.0101459
internalMesh,0.081771,0.00291246,0.00211603,-0.10485,-8.67633e-05,-6.30373e-05,0.00839372
internalMesh,0.0817738,0.00388328,0.00282137,-0.10485,-5.20146e-05,-3.77908e-05,0.00514866
internalMesh,0.0817744,0.0048541,0.00352671,-0.10485,0,0,0
internalMesh,0.0817667,0.000705342,0.00097082,-0.10485,-2.91392e-05,-4.01067e-05,0.010904
internalMesh,0.0817676,0.00141068,0.00194164,-0.10485,-5.47991e-05,-7.54245e-05,0.0101459
internalMesh,0.081771,0.00211603,0.00291246,-0.10485,-6.30373e-05,-8.67633e-05,0.00839372
internalMesh,0.0817738,0.00282137,0.00388328,-0.10485,-3.77908e-05,-5.20146e-05,0.00514866
internalMesh,0.0817744,0.00352671,0.0048541,-0.10485,0,0,0
internalMesh,0.0817667,0.00037082,0.00114127,-0.10485,-1.53194e-05,-4.71483e-05,0.010904
internalMesh,0.0817676,0.000741641,0.00228254,-0.10485,-2.88096e-05,-8.86668e-05,0.0101459
internalMesh,0.081771,0.00111246,0.0034238,-0.10485,-3.31407e-05,-0.000101996,0.00839372
internalMesh,0.0817738,0.00148328,0.00456507,-0.10485,-1.98678e-05,-6.11469e-05,0.00514866
internalMesh,0.0817744,0.0018541,0.00570634,-0.10485,0,0,0
internalMesh,0.0817667,0,0.0012,-0.10485,0,-4.95746e-05,0.010904
internalMesh,0.0817676,0,0.0024,-0.10485,0,-9.32298e-05,0.0101459
internalMesh,0.081771,0,0.0036,-0.10485,0,-0.000107246,0.00839372
internalMesh,0.0817738,0,0.0048,-0.10485,0,-6.42937e-05,0.00514866
internalMesh,0.0817744,0,0.006,-0.10485,0,0,0
internalMesh,0.0817025,0,0,-0.10385,0,0,0.0111506
internalMesh,0.0817029,0.0012,-4.17106e-20,-0.10385,-3.49114e-05,0,0.0109664
internalMesh,0.0817043,0.0024,-8.34212e-20,-0.10385,-6.42935e-05,0,0.0101978
internalMesh,0.0817068,0.0036,-1.25132e-19,-0.10385,-7.15506e-05,0,0.0084056
internalMesh,0.0817086,0.0048,-1.66842e-19,-0.10385,-4.14398e-05,0,0.00512152
internalMesh,0.0817088,0.006,-2.08553e-19,-0.10385,0,0,0
internalMesh,0.0817029,0.00114127,0.00037082,-0.10385,-3.32027e-05,-1.07882e-05,0.0109664
internalMesh,0.0817043,0.00228254,0.000741641,-0.10385,-6.11467e-05,-1.98678e-05,0.0101978
internalMesh,0.0817068,0.0034238,0.00111246,-0.10385,-6.80486e-05,-2.21104e-05,0.0084056
internalMesh,0.0817086,0.00456507,0.00148328,-0.10385,-3.94115e-05,-1.28056e-05,0.00512152
internalMesh,0.0817088,0.00570634,0.0018541,-0.10385,0,0,0
internalMesh,0.0817029,0.00097082,0.000705342,-0.10385,-2.82439e-05,-2.05204e-05,0.0109664
internalMesh,0.0817043,0.00194164,0.00141068,-0.10385,-5.20145e-05,-3.77907e-05,0.0101978
internalMesh,0.0817068,0.00291246,0.00211603,-0.10385,-5.78856e-05,-4.20564e-05,0.0084056
internalMesh,0.0817086,0.00388328,0.00282137,-0.10385,-3.35254e-05,-2.43577e-05,0.00512152
internalMesh,0.0817088,0.0048541,0.00352671,-0.10385,0,0,0
internalMesh,0.0817029,0.000705342,0.00097082,-0.10385,-2.05204e-05,-2.82439e-05,0.0109664
internalMesh,0.0817043,0.00141068,0.00194164,-0.10385,-3.77907e-05,-5.20145e-05,0.0101978
internalMesh,0.0817068,0.00211603,0.00291246,-0.10385,-4.20564e-05,-5.78856e-05,0.0084056
internalMesh,0.0817086,0.00282137,0.00388328,-0.10385,-2.43577e-05,-3.35254e-05,0.00512152
internalMesh,0.0817088,0.00352671,0.0048541,-0.10385,0,0,0
internalMesh,0.0817029,0.00037082,0.00114127,-0.10385,-1.07882e-05,-3.32027e-05,0.0109664
internalMesh,0.0817043,0.000741641,0.00228254,-0.10385,-1.98678e-05,-6.11467e-05,0.0101978
internalMesh,0.0817068,0.00111246,0.0034238,-0.10385,-2.21104e-05,-6.80486e-05,0.0084056
internalMesh,0.0817086,0.00148328,0.00456507,-0.10385,-1.28056e-05,-3.94115e-05,0.00512152
internalMesh,0.0817088,0.0018541,0.00570634,-0.10385,0,0,0
internalMesh,0.0817029,0,0.0012,-0.10385,0,-3.49114e-05,0.0109664
internalMesh,0.0817043,0,0.0024,-0.10385,0,-6.42935e-05,0.0101978
internalMesh,0.0817068,0,0.0036,-0.10385,0,-7.15506e-05,0.0084056
